id,name,open,labeled,commented,closed
MDU6SXNzdWU0MTg4NjI2MzI=,https://github.com/swagger-api/swagger-editor/issues/1959,2019-03-08T16:36:17Z,2019-04-09T23:29:46Z,,
MDU6SXNzdWU0MjMzNTY2MzU=,https://github.com/swagger-api/swagger-editor/issues/1965,2019-03-20T16:40:02Z,,2019-03-20T20:29:38Z,2019-03-21T08:06:05Z
MDU6SXNzdWU0MjM2MjE0NTk=,https://github.com/swagger-api/swagger-editor/issues/1966,2019-03-21T08:48Z,2019-04-10T00:19:11Z,2019-03-21T09:42:02Z,
MDU6SXNzdWU0MjU1NTY4NjA=,https://github.com/swagger-api/swagger-editor/issues/1969,2019-03-26T17:37:11Z,2019-04-10T00:42:17Z,2019-07-15T08:34:04Z,
MDU6SXNzdWU0MjcwNDEyMDA=,https://github.com/swagger-api/swagger-editor/issues/1972,2019-03-29T15:23:28Z,,2019-04-02T10:39:21Z,
MDU6SXNzdWU0MjgxODQyMDI=,https://github.com/swagger-api/swagger-editor/issues/1973,2019-04-02T11:56:13Z,,2019-04-23T17:05:26Z,2019-08-07T15:47:25Z
MDU6SXNzdWU0MjgzMTkyMjE=,https://github.com/swagger-api/swagger-editor/issues/1974,2019-04-02T16:12:56Z,,2019-04-11T19:21:24Z,2019-04-11T19:21:24Z
MDU6SXNzdWU0Mjg2OTc1NDE=,https://github.com/swagger-api/swagger-editor/issues/1975,2019-04-03T10:49:19Z,,,2019-05-10T21:48:14Z
MDU6SXNzdWU0MjkyMTA2NTM=,https://github.com/swagger-api/swagger-editor/issues/1976,2019-04-04T10:49:48Z,,,
MDU6SXNzdWU0Mjk0OTgxMzA=,https://github.com/swagger-api/swagger-editor/issues/1977,2019-04-04T21:49:16Z,,2019-04-23T23:13:25Z,2019-04-23T23:13:25Z
MDU6SXNzdWU0MzA4Nzk4Mzg=,https://github.com/swagger-api/swagger-editor/issues/1978,2019-04-09T10:03:45Z,,,
MDU6SXNzdWU0MzEyMDcwMDc=,https://github.com/swagger-api/swagger-editor/issues/1981,2019-04-09T21:34:09Z,,2019-08-12T12:48:10Z,2020-03-09T07:35:40Z
MDU6SXNzdWU0MzE5NTQwMjc=,https://github.com/swagger-api/swagger-editor/issues/1983,2019-04-11T10:43:21Z,,2019-07-19T19:54:28Z,
MDU6SXNzdWU0MzM2OTUzNTE=,https://github.com/swagger-api/swagger-editor/issues/1986,2019-04-16T10:11:15Z,,2019-04-16T15:09:18Z,2019-04-16T16:09:45Z
MDU6SXNzdWU0MzUzNTgyMTc=,https://github.com/swagger-api/swagger-editor/issues/1988,2019-04-20T05:13:34Z,2019-04-20T05:13:34Z,,
MDU6SXNzdWU0MzYyNjE3NDQ=,https://github.com/swagger-api/swagger-editor/issues/1989,2019-04-23T15:47:44Z,,2019-04-23T16:53:42Z,2019-04-23T19:21:37Z
MDU6SXNzdWU0MzY3MjE4NDc=,https://github.com/swagger-api/swagger-editor/issues/1991,2019-04-24T14:11:44Z,2020-01-29T09:21:01Z,,
MDU6SXNzdWU0NDI1OTQzMDU=,https://github.com/swagger-api/swagger-editor/issues/1992,2019-05-10T08:15:08Z,,2019-05-27T14:04:55Z,2019-05-29T12:00:06Z
